bjd,rv,e_rv,instrument
2451291.36542,49.319,0.012,H
2451293.37376,49.312,0.014,H
2451545.63921,49.088,0.009,H
2452308.63310,49.399,0.012,E
2452356.41490,49.412,0.021,E
2452359.45970,49.363,0.012,E
2452360.42310,49.391,0.011,E
2452615.71400,49.119,0.011,E
2452649.66360,49.126,0.011,E
2452649.67630,49.129,0.013,E
2452719.40970,49.100,0.008,E
2452722.49520,49.118,0.012,E
2452993.63610,49.204,0.012,E
2453034.56760,49.293,0.015,E
2453094.36570,49.308,0.010,E
2453101.39950,49.285,0.010,E
2453359.69070,49.389,0.016,E
2453361.66000,49.412,0.021,E
2453421.52680,49.459,0.019,E
2453428.48940,49.462,0.026,E
2453461.36050,49.414,0.016,E
2453463.41260,49.458,0.020,E
2453464.39850,49.408,0.011,E
2453486.35380,49.359,0.011,E
2453491.32410,49.348,0.010,E
2453518.35250,49.234,0.013,E
