times,flux,flux_err
2.144523172011960924e+03,1.002449870109558105e+00,6.335672052143419665e-04
2.144530116570675091e+03,1.001908779144287109e+00,6.335672052143419665e-04
2.144537061128926325e+03,1.001986622810363770e+00,6.335672052143419665e-04
2.144544005687175741e+03,1.002025485038757324e+00,6.335672052143419665e-04
2.144550950244959040e+03,1.002018570899963379e+00,6.335672052143419665e-04
2.144557894802277588e+03,1.002441883087158203e+00,6.335672052143419665e-04
2.144564839359595680e+03,1.002064466476440430e+00,6.335672052143419665e-04
2.144571783916448112e+03,1.001592993736267090e+00,6.335672052143419665e-04
2.144578728473301453e+03,1.001904964447021484e+00,6.335672052143419665e-04
2.144585673029688223e+03,1.001810908317565918e+00,6.335672052143419665e-04
2.144592617585610242e+03,1.001793026924133301e+00,6.335672052143419665e-04
2.144599562141531351e+03,1.001234531402587891e+00,6.335672052143419665e-04
2.144620395807432033e+03,9.994097948074340820e-01,6.335672052143419665e-04
2.144627340361956158e+03,1.001487016677856445e+00,6.335672052143419665e-04
2.144634284916481192e+03,1.000941753387451172e+00,6.335672052143419665e-04
2.144641229470539656e+03,1.001436352729797363e+00,6.335672052143419665e-04
2.144648174024134278e+03,1.001291751861572266e+00,6.335672052143419665e-04
2.144655118577726171e+03,1.002171158790588379e+00,6.335672052143419665e-04
2.144662063131318973e+03,1.001465320587158203e+00,6.335672052143419665e-04
2.144669007684447024e+03,1.000720143318176270e+00,6.335672052143419665e-04
2.144675952237110323e+03,1.001394510269165039e+00,6.335672052143419665e-04
2.144682896789305232e+03,1.001509428024291992e+00,6.335672052143419665e-04
2.144689841341500141e+03,1.001184463500976562e+00,6.335672052143419665e-04
2.144696785893696870e+03,1.001396656036376953e+00,6.335672052143419665e-04
2.144703730445427937e+03,1.001209139823913574e+00,6.335672052143419665e-04
2.144710674996692433e+03,1.000807642936706543e+00,6.335672052143419665e-04
2.144717619547956929e+03,1.000659108161926270e+00,6.335672052143419665e-04
2.144724564098756673e+03,1.001535654067993164e+00,6.335672052143419665e-04
2.144731508649089847e+03,1.001071214675903320e+00,6.335672052143419665e-04
2.144738453199423475e+03,1.000543475151062012e+00,6.335672052143419665e-04
2.144745397749292351e+03,1.001048326492309570e+00,6.335672052143419665e-04
2.144752342299158045e+03,1.000722765922546387e+00,6.335672052143419665e-04
2.144759286848560805e+03,1.000887036323547363e+00,6.335672052143419665e-04
2.144766231397962656e+03,1.000427484512329102e+00,6.335672052143419665e-04
2.144773175946898846e+03,1.000856757164001465e+00,6.335672052143419665e-04
2.144780120495835035e+03,1.000514030456542969e+00,6.335672052143419665e-04
2.144787065043840812e+03,1.001119613647460938e+00,6.335672052143419665e-04
2.144794009592312250e+03,1.000953316688537598e+00,6.335672052143419665e-04
2.144800954140316207e+03,1.001503944396972656e+00,6.335672052143419665e-04
2.144807898687857232e+03,1.001063108444213867e+00,6.335672052143419665e-04
2.144814843234930777e+03,1.000428438186645508e+00,6.335672052143419665e-04
