t,rv,rv_err,instrument
2459497.60994212,27801.60,9.47,ESPRESSO
2459500.61738876,26881.81,5.37,ESPRESSO
2459519.61671364,27865.79,5.75,ESPRESSO
2459520.58923126,28547.72,3.77,ESPRESSO
2459521.63005011,28423.49,3.03,ESPRESSO
2459527.68871351,27157.53,3.16,ESPRESSO
2459528.59646265,26873.69,3.32,ESPRESSO
2459471.72689,162.90,12.04,PFS
2459471.74115,94.83,13.99,PFS
2459471.75665,223.48,15.28,PFS
2459475.72037,-332.64,26.50,PFS
2459531.64196,-8.95,11.86,PFS
2459531.65633,56.76,12.61,PFS
2459531.67043,0.00,12.18,PFS
2459534.55251,-1476.56,11.39,PFS
2459534.56710,-1467.28,10.24,PFS
2459534.58025,-1424.81,10.92,PFS
