unseq,date,bjd,rv,rv_err
1119412,2024-10-08T01:15:52.356,2460591.5526852,12587,5
1119413,2024-10-08T01:31:42.871,2460591.5636921,12595,5
1119417,2024-10-08T02:38:23.326,2460591.6099884,12615,5
1119642,2024-10-10T00:35:16.857,2460593.5245023,12599,5
1119643,2024-10-10T00:51:07.372,2460593.5354977,12608,4
1119644,2024-10-10T01:06:57.894,2460593.5465046,12622,5
1119648,2024-10-10T03:28:41.019,2460593.6449190,12705,4
1119649,2024-10-10T03:44:31.543,2460593.6559259,12698,4
1119650,2024-10-10T04:00:22.078,2460593.6669213,12714,5
1119782,2024-10-11T05:54:10.052,2460594.7459497,12705,6
1119783,2024-10-11T06:10:00.573,2460594.7569511,12591,4
1119881,2024-10-11T06:10:00.573,2460595.7340050,12538.506126209704,4.976371294019575
1120230,2024-10-17T03:41:43.968539,2460600.6594839,12480.04657321449,4.853638707320818
1120231,2024-10-17T03:57:34.497409,2460600.6704856,12476.575200540367,5.790738603867315
