TOI Name,Period,Period_err,Radius,Radius_err,Mass,Mass_err,Teq,Teq_err,ESM,ESM_err
134.01,1.401500,0.000180,1.39,0.09,4.60,0.56,981,27,9.9,1.4
136.01,0.462929,0.000002,1.30,0.02,--,--,805,27,28.8,1.8
141.01,1.008035,0.000020,1.75,0.05,8.83,0.66,2131,21,14.1,0.8
396.01,5.972930,0.000600,1.94,0.07,--,--,1317,16,9.7,0.7
431.02,0.490047,0.000010,1.28,0.04,3.07,0.35,1888,50,16.0,1.2
667.01,1.628931,0.000027,1.13,0.06,1.66,0.23,584,30,9.5,1.4
732.01,0.768448,0.000054,1.33,0.07,2.62,0.47,892,44,13.4,1.6
836.02,3.816514,0.000757,1.81,0.27,5.76,1.14,834,47,8.7,2.7
1078.01,0.518235,0.000006,1.19,0.07,2.09,0.56,1089,53,16.3,2.2
1416.01,1.069763,0.000005,1.73,0.05,5.00,1.10,1514,24,11.0,0.7
1462.01,2.178000,0.000100,1.25,0.10,2.22,0.42,1673,76,8.4,1.5
1469.01,3.093500,0.000300,1.60,0.06,4.74,0.19,1014,8,37,6
1469.02,6.764580,0.000330,1.51,0.05,4.36,0.22,782,6,18.3,2.9
1773.01,0.736547,0.000001,1.88,0.03,7.99,0.33,1947,13,69.9,2.7
1634.01,0.989343,0.000015,1.79,0.08,4.91,0.69,923,23,13.9,1.3
1685.01,0.6691403,0.000002,1.70,0.07,3.78,0.63,1066,24,13.8,1.2
1807.01,0.549372,0.000007,1.82,0.05,--,--,1730,28,22.6,1.4
1827.01,1.467119,0.000031,1.31,0.07,2.82,0.12,700,17,21.5,2.4
2431.01,0.224200,0.000020,1.62,0.21,--,--,2048,125,29,8
--,0.959641,0.000012,1.70,0.17,5.02,0.38,1746,46,14.0,2.9
--,0.280324,0.000002,1.51,0.05,5.08,0.41,2115,48,15.0,1.1
--,1.208982,0.000007,1.58,0.03,4.91,0.49,1183,15,14.9,0.6
