# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  7 09:08:16 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_jmagerr1:    J (2MASS) Magnitude Upper Unc
# COLUMN sy_jmagerr2:    J (2MASS) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
ZTF J1828+2308 b,ZTF J1828+2308,1,0.11200670000,0.00000087000,-0.00000087000,0,,,,,11.13051784,0.21297063,-0.21297063,0,6356.56814000,317.82840700,-317.82840700,0,,,,,,,,,,,,,,15900.00,75.00,-75.00,0,0.013100,0.000200,-0.000200,0,0.610000,0.004000,-0.004000,0,,,,,8.050000,0.050000,-0.050000,0,201.82700000,5.77000000,-5.46400000,18.0447000,0.0459000,-0.0459000,,,,,,,18.0258000,0.0012930,-0.0012930
KOI-1843.03,Kepler-974,1,0.17689130000,0.00000020000,-0.00000020000,0,,,,,0.61000000,0.12000000,-0.08000000,0,8.00000000,,,1,,,,,,,,,,,,,,3584.00,65.00,-65.00,0,0.450000,0.080000,-0.050000,0,0.460000,0.080000,-0.050000,0,0.0000,0.1000,-0.1000,0,4.800000,0.060000,-0.090000,0,134.31100000,0.44700000,-0.44400000,15.2950000,0.0580000,-0.0580000,11.9510000,0.0210000,-0.0210000,11.0560000,0.0170000,-0.0170000,14.4126000,0.0004830,-0.0004830
K2-137 b,K2-137,1,0.17971900000,0.00002800000,-0.00002800000,0,,,,,0.64000000,0.10000000,-0.10000000,0,,,,,,,,,,,,,,,,,,3697.00,109.00,-109.00,0,0.290000,0.060000,-0.060000,0,,,,,-0.0590,0.1800,-0.1800,0,5.000000,0.060000,-0.060000,0,98.87650000,0.61760000,-0.61010000,15.9400000,0.2000000,-0.2000000,11.7640000,0.0260000,-0.0260000,10.8820000,0.0230000,-0.0230000,14.4345000,0.0006180,-0.0006180
ZTF J1230-2655 b,ZTF J1230-2655,1,0.23597766000,0.00000095000,-0.00000095000,0,,,,,13.78704626,0.00560449,-0.00560449,0,7024.00779470,,,1,,,,,,,,,,,,,,10000.00,110.00,-110.00,0,0.012300,0.000200,-0.000200,0,0.646000,0.017000,-0.017000,0,,,,,8.070000,0.050000,-0.050000,0,186.69000000,15.11200000,-13.03400000,18.9116000,0.0460000,-0.0460000,,,,,,,18.8866000,0.0024150,-0.0024150
TOI-6255 b,TOI-6255,1,0.23818244000,0.00000012000,-0.00000012000,0,,,,,1.07900000,0.06500000,-0.06500000,0,1.44000000,0.14000000,-0.14000000,0,0.000000,,,0,,,,,,,,,,3421.00,70.00,-70.00,0,0.370000,0.011000,-0.011000,0,0.353000,0.015000,-0.015000,0,-0.1400,0.0900,-0.0900,0,4.850000,0.044000,-0.044000,0,20.31670000,0.02360000,-0.02360000,12.7470000,0.0520000,-0.0520000,8.9120000,0.0260000,-0.0260000,8.0710000,0.0200000,-0.0200000,11.6345000,0.0009290,-0.0009290
KOI-55 b,KOI-55,1,0.24010400000,0.00000400000,-0.00000400000,0,0.0060000000,,,0,0.75900000,,,0,0.44000000,,,0,,,,,,,,,,,,,B,27730.00,270.00,-270.00,0,0.203000,0.007000,-0.007000,0,0.496000,0.002000,-0.002000,0,,,,,5.520000,0.030000,-0.030000,0,1231.02000000,48.01500000,-48.01500000,15.1540000,0.1500000,-0.1500000,15.3560000,0.0450000,-0.0450000,15.4950000,,,14.9062000,0.0006020,-0.0006020
TOI-6324 b,TOI-6324,1,0.27922100000,0.00000010000,-0.00000010000,0,,,,,1.05900000,0.04100000,-0.04100000,0,1.17000000,0.22000000,-0.22000000,0,0.000000,,,0,,,,,1216.00,60.00,-60.00,0,,3247.00,70.00,-70.00,0,0.293000,0.010000,-0.010000,0,0.269000,0.012000,-0.012000,0,-0.3200,0.0900,-0.0900,0,4.930000,0.006000,-0.006000,0,20.54880000,0.01520000,-0.01510000,13.3860000,0.0260000,-0.0260000,9.4100000,0.0270000,-0.0270000,8.6910000,0.0220000,-0.0220000,12.2140000,0.0003440,-0.0003440
K2-141 b,K2-141,1,0.28032440000,0.00000150000,-0.00000150000,0,0.0074700000,0.0001000000,-0.0001000000,0,1.51000000,0.05000000,-0.05000000,0,4.97000000,0.35000000,-0.34000000,0,0.000000,,,0,3260.0000,370.0000,-330.0000,0,2103.00,56.00,-56.00,0,,4570.00,100.00,-100.00,0,0.681000,0.018000,-0.018000,0,0.708000,0.028000,-0.028000,0,0.0000,0.0600,-0.0600,0,,,,,61.87360000,0.16620000,-0.16540000,11.4540000,0.0230000,-0.0230000,9.0860000,0.0210000,-0.0210000,8.4010000,0.0230000,-0.0230000,10.7217000,0.0006920,-0.0006920
GJ 367 b,GJ 367,1,0.32192250000,0.00000020000,-0.00000020000,0,0.0070900000,0.0002700000,-0.0002700000,0,0.69900000,0.02400000,-0.02400000,0,0.63300000,0.05000000,-0.05000000,0,0.060000,0.070000,-0.040000,0,579.0000,57.0000,-52.0000,0,1365.00,32.00,-32.00,0,M1.0 V,3522.00,70.00,-70.00,0,0.458000,0.013000,-0.013000,0,0.455000,0.011000,-0.011000,0,-0.0100,0.1200,-0.1200,0,4.776000,0.026000,-0.026000,0,9.41263000,0.00283500,-0.00283500,10.1530000,0.0440000,-0.0440000,6.6320000,0.0230000,-0.0230000,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500
KOI-55 c,KOI-55,1,0.34288700000,0.00001300000,-0.00001300000,0,0.0076000000,,,0,0.86700000,,,0,0.65500000,,,0,,,,,,,,,,,,,B,27730.00,270.00,-270.00,0,0.203000,0.007000,-0.007000,0,0.496000,0.002000,-0.002000,0,,,,,5.520000,0.030000,-0.030000,0,1231.02000000,48.01500000,-48.01500000,15.1540000,0.1500000,-0.1500000,15.3560000,0.0450000,-0.0450000,15.4950000,,,14.9062000,0.0006020,-0.0006020
