# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 18 08:21:10 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and sy_kmagstr not null)
# CONSTRAINT:  order by pl_eqt asc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,default_flag,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_dist,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
SPECULOOS-3 b,1,0,<a refstr=GILLON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatAs.tmp...96G/abstract target=ref>Gillon et al. 2024</a>,0.71912603,0.00000057,-0.00000057,0,0.007330,0.000055,-0.000055,0,0.977,0.022,-0.022,0,,,,,,,,,,,,,15.54,0.42,-0.42,0,553,8,-8,0,2800.00,29.00,-29.00,0,0.12,0.00,0.00,0,0.10,0.00,0.00,0,0.070,0.100,-0.100,0,5.26,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,10.5410000,0.0160000,-0.0160000,15.4023000,0.0005610,-0.0005610,13.7314000,0.0079491,-0.0079491
LP 791-18 b,1,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,0.94799810,0.00000210,-0.00000210,0,0.009780,0.000120,-0.000120,0,1.212,0.059,-0.058,0,,,,,,,,,,,,,24.14,0.61,-0.57,0,564,4,-3,0,2960.00,55.00,-55.00,0,0.18,0.01,-0.01,0,0.14,0.01,-0.01,0,-0.090,0.190,-0.190,0,5.12,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.4927000,0.0640000,-0.0638000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,13.5571000,0.0077321,-0.0077321
TOI-6008 b,1,0,<a refstr=BARKAOUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240506350B/abstract target=ref>Barkaoui et al. 2024</a>,0.85743470,0.00004240,-0.00004240,0,0.010777,0.000162,-0.000162,0,1.030,0.050,-0.050,0,4.00000,,,1,0.01259,,,1,,,,,41.50,4.50,-4.50,0,707,19,-19,0,3075.00,75.00,-75.00,0,0.24,0.01,-0.01,0,0.23,0.01,-0.01,0,0.300,,,1,5.01,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23.1008000,0.0293000,-0.0291000,9.5410000,0.0180000,-0.0180000,13.7122000,0.0005500,-0.0005500,12.2936000,0.0074708,-0.0074708
Kepler-42 c,1,0,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>,0.45328509,0.00000097,-0.00000097,0,0.006000,,,0,0.730,0.200,-0.200,0,,,,,,,,,,,,,,,,,720,73,-73,0,3068.00,174.00,-174.00,0,0.17,0.04,-0.04,0,0.13,0.05,-0.05,0,-0.330,0.120,-0.120,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,40.0595000,0.0650000,-0.0647000,11.4650000,0.0180000,-0.0180000,14.9931000,0.0005060,-0.0005060,13.7435000,0.0073649,-0.0073649
LHS 3844 b,1,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.46292913,0.00000190,-0.00000190,0,0.006220,0.000170,-0.000170,0,1.303,0.022,-0.022,0,,,,,,,,,,,,,70.10,0.50,-0.50,0,805,20,-20,0,3036.00,77.00,-77.00,0,0.19,0.01,-0.01,0,0.15,0.01,-0.01,0,,,,,5.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.8846000,0.0113000,-0.0113000,9.1450010,0.0230000,-0.0230000,13.3925000,0.0007380,-0.0007380,11.9238000,0.0076985,-0.0076985
LTT 3780 b,1,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,0.76837931,0.00000039,-0.00000042,0,0.011950,0.000280,-0.000290,0,1.325,0.057,-0.058,0,2.46000,0.19000,-0.19000,0,0.00774,0.00060,-0.00060,0,0.000000,,,0,111.00,13.00,-12.00,0,903,26,-26,0,3358.00,92.00,-92.00,0,0.38,0.01,-0.01,0,0.38,0.02,-0.03,0,0.060,0.110,-0.110,0,4.85,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21.9814000,0.0403000,-0.0402000,8.2040010,0.0210000,-0.0210000,11.8465000,0.0004770,-0.0004770,10.5848000,0.0073852,-0.0073852
TOI-206 b,1,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.73631040,0.00000030,-0.00000030,0,0.011200,0.000100,-0.000100,0,1.300,0.050,-0.050,0,,,,,,,,,,,,,,,,,910,36,-36,0,3383.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.35,0.01,-0.01,0,,,,,4.89,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,47.7465000,0.1100000,-0.1095000,10.0600000,0.0220000,-0.0220000,13.6662000,0.0006700,-0.0006700,12.4312000,0.0075286,-0.0075286
GJ 806 b,1,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.92632370,0.00000090,-0.00000090,0,0.014060,0.000300,-0.000300,0,1.331,0.023,-0.023,0,1.90000,0.17000,-0.17000,0,0.00598,0.00053,-0.00053,0,,,,,130.00,6.00,-6.00,0,940,10,-10,0,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.0445000,0.0043500,-0.0043500,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,8.7276200,0.0073409,-0.0073409
Wolf 327 b,1,0,<a refstr=MURGAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240112150M/abstract target=ref>Murgas et al. 2024</a>,0.57347450,0.00000030,-0.00000030,0,0.010000,0.000400,-0.000400,0,1.240,0.060,-0.060,0,2.53000,0.46000,-0.46000,0,0.00796,0.00145,-0.00145,0,0.000000,,,0,233.90,18.30,-18.30,0,996,22,-22,0,3542.00,70.00,-70.00,0,0.41,0.01,-0.01,0,0.41,0.02,-0.02,0,-0.170,0.040,-0.040,0,4.87,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,28.5321000,0.0512000,-0.0512000,8.4350000,0.0170000,-0.0170000,11.9522000,0.0006460,-0.0006460,10.7818000,0.0075379,-0.0075379
TOI-2445 b,1,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.37112810,0.00000050,-0.00000050,0,0.006400,0.000100,-0.000100,0,1.250,0.080,-0.080,0,,,,,,,,,,,,,,,,,1060,54,-54,0,3333.00,157.00,-157.00,0,0.27,0.01,-0.01,0,0.25,0.01,-0.01,0,,,,,4.97,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,48.5820000,0.2487000,-0.2462000,10.7790000,0.0190000,-0.0190000,14.3977000,0.0006440,-0.0006440,13.1292000,0.0075607,-0.0075607
