# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Dec  7 05:41:49 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
11 Com b,11 Com,1,323.21000000,0.06000000,-0.05000000,0,,,,
11 UMi b,11 UMi,1,516.21997000,3.20000000,-3.20000000,0,,,,
14 And b,14 And,1,186.76000000,0.11000000,-0.12000000,0,,,,
14 Her b,14 Her,1,1765.03890000,1.67709000,-1.87256000,0,,,,
16 Cyg B b,16 Cyg B,1,798.50000000,1.00000000,-1.00000000,0,,,,
17 Sco b,17 Sco,1,578.38000000,2.01000000,-2.09000000,0,,,,
18 Del b,18 Del,1,982.85000000,1.06000000,-0.92000000,0,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,,,,,,,,
24 Boo b,24 Boo,1,30.33000000,0.00000000,-0.01000000,0,,,,
24 Sex b,24 Sex,1,452.80000000,2.10000000,-4.50000000,0,,,,
24 Sex c,24 Sex,1,883.00000000,32.40000000,-13.80000000,0,,,,
2M0437 b,2MASS J04372171+2651014,1,,,,,,,,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,,,,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,,,,,,,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,,,,,16.141,0.336,-0.336,0
2MASS J0249-0557 c,2MASS J0249-0557 A,1,,,,,,,,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,,,,,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,,,,,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,,,,,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,,,,,,,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,406.00000000,4.00000000,-4.00000000,0,,,,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,,,,,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,,,,,,,,
30 Ari B b,30 Ari B,1,335.10001000,2.50000000,-2.50000000,0,,,,
4 UMa b,4 UMa,1,270.27000000,0.24000000,-0.09000000,0,,,,
42 Dra b,42 Dra,1,479.10000000,6.20000000,-6.20000000,0,,,,
47 UMa b,47 UMa,1,1078.00000000,2.00000000,-2.00000000,0,,,,
47 UMa c,47 UMa,1,2391.00000000,100.00000000,-87.00000000,0,,,,
47 UMa d,47 UMa,1,14002.00000000,4018.00000000,-5095.00000000,0,,,,
51 Eri b,51 Eri,1,,,,,,,,
51 Peg b,51 Peg,1,4.23078500,0.00003600,-0.00003600,0,,,,
55 Cnc b,55 Cnc,1,14.65160000,0.00010000,-0.00010000,0,,,,
55 Cnc c,55 Cnc,1,44.39890000,0.00420000,-0.00430000,0,,,,
55 Cnc d,55 Cnc,1,5574.20000000,93.80000000,-88.60000000,0,,,,
